date,momentum_10,momentum_20,sma_20,sma_200,macd,macd_signal,bb_width,atr_14,volume_sma_20,volume_ratio,trend_label,month,weekday,trend_lag1,trend_lag2,trend_lag3
2021-01-04,-0.0648976406315663,-0.1249924956474755,166.57,166.57,0.0,0.0,16.12423434874762,7.449999999999989,1195101.0,1.0,Downtrend,1,0,Uptrend,Sideways,Downtrend
2021-01-04,-0.0222713631337861,-0.0442268204075185,63.31,63.31,0.0,0.0,2.760828032587277,2.479999999999997,1267689.0,1.0,Sideways,1,0,Downtrend,Sideways,Downtrend
2021-01-04,0.0648672830301222,-0.0077542499254398,67.06,67.06,0.0,0.0,2.760828032587277,0.9421428571428572,1121206.855,1.0,Uptrend,1,0,Sideways,Sideways,Downtrend
2021-01-04,0.0894705532421178,0.0644854253420583,84.05,84.05,0.0,0.0,5.62856997824494,2.760000000000005,1121206.855,1.0,Sideways,1,0,Uptrend,Uptrend,Uptrend
2021-01-04,0.0344704623796505,0.0721502436705099,84.13,84.13,0.0,0.0,2.771858582251241,2.3499999999999943,1121206.855,1.0,Uptrend,1,0,Downtrend,Downtrend,Sideways
2021-01-04,0.0291812572953142,0.133566783391696,59.97,59.97,0.0,0.0,2.760828032587277,1.840000000000004,1231499.0,1.0,Sideways,1,0,Uptrend,Uptrend,Sideways
2021-01-04,0.0033076074972435,0.0702472830366987,63.49,63.49,0.0,0.0,2.760828032587277,1.6500000000000057,1121206.855,1.0,Uptrend,1,0,Uptrend,Uptrend,Downtrend
2021-01-04,-0.0208784410763995,0.100525827404887,64.66,64.66,0.0,0.0,6.137686860699233,1.7800000000000011,1219421.0,1.0,Downtrend,1,0,Downtrend,Sideways,Sideways
2021-01-04,-0.0593347639484979,-0.1261802575107297,93.2,93.2,0.0,0.0,7.410479066835023,4.699999999999989,1249367.0,1.0,Sideways,1,0,Downtrend,Downtrend,Downtrend
2021-01-04,0.0583054626532888,0.0554069119286511,89.7,89.7,0.0,0.0,5.685138520739827,2.4499999999999886,1341908.0399999998,1.0,Sideways,1,0,Downtrend,Sideways,Sideways
2021-01-04,-0.018929503916449,-0.0993798955613577,61.28,61.28,0.0,0.0,10.06920056409644,2.4199999999999946,1341908.0399999998,1.0,Sideways,1,0,Uptrend,Sideways,Uptrend
2021-01-04,-0.0481457384515288,-0.0559531554977228,76.85,76.85,0.0,0.0,2.760828032587277,1.7999999999999972,1121206.855,1.0,Sideways,1,0,Downtrend,Downtrend,Downtrend
2021-01-04,-0.0445519604878539,0.0137082955347243,99.21,99.21,0.0,0.0,2.760828032587277,2.450000000000003,1341908.0399999998,1.0,Sideways,1,0,Downtrend,Downtrend,Sideways
2021-01-04,-0.0200657894736843,0.1507894736842103,152.0,152.0,0.0,0.0,13.123901858822308,4.889999999999986,1121206.855,1.0,Downtrend,1,0,Uptrend,Uptrend,Sideways
2021-01-04,0.1007583965330445,0.063199711087035,83.07,83.07,0.0,0.0,9.0528522208933,1.3900000000000006,1341908.0399999998,1.0,Uptrend,1,0,Downtrend,Downtrend,Downtrend
2021-01-04,0.0869528333898881,0.0461486257210723,117.88,117.88,0.0,0.0,12.86934341759519,3.819999999999993,1121206.855,1.1980544804780755,Uptrend,1,0,Sideways,Downtrend,Downtrend
2021-01-04,0.0593261325165241,0.156698371755602,62.03,62.03,-0.0422792022792037,0.0,2.760828032587277,1.4600000000000009,1282082.0,1.0,Uptrend,1,0,Sideways,Sideways,Sideways
2021-01-04,-0.0047718096170317,-0.0369509360088096,81.73,81.73,0.0,0.0,3.5355339059327378,0.9421428571428572,1239249.0,1.0,Sideways,1,0,Uptrend,Uptrend,Uptrend
2021-01-04,-0.0105208692652637,-0.081062435322525,174.89,173.94,0.0,0.0,5.374011537017793,5.819999999999993,1341908.0399999998,1.0,Downtrend,1,0,Sideways,Sideways,Downtrend
